access,W_eff,N,method,seed,succ_v,succ_n,useful
rts,840,20,pace,456,0.24660238095238096,0.4836785714285714,0.7302809523809524
rts,840,20,pace,789,0.24266190476190477,0.4905833333333333,0.7332452380952381
rts,840,20,pace,1234,0.24161666666666667,0.49192380952380954,0.7335404761904762
rts,840,20,oracle,42,0.5661309523809523,0.1655095238095238,0.7316404761904762
rts,840,20,oracle,123,0.5679428571428572,0.1641190476190476,0.7320619047619048
rts,840,20,oracle,456,0.5714690476190476,0.16485714285714287,0.7363261904761905
rts,840,20,oracle,789,0.5835142857142858,0.15622857142857144,0.7397428571428571
rts,840,20,oracle,1234,0.5709666666666666,0.16263809523809525,0.7336047619047619
rts,1680,20,dcf_excl,42,0.46281785714285717,0.20047857142857142,0.6632964285714286
rts,1680,20,dcf_excl,123,0.46231785714285717,0.2011547619047619,0.663472619047619
rts,1680,20,dcf_excl,456,0.4644,0.19811071428571428,0.6625107142857143
rts,1680,20,dcf_excl,789,0.46265595238095236,0.19988095238095238,0.6625369047619047
rts,1680,20,dcf_excl,1234,0.4628154761904762,0.20040357142857143,0.6632190476190476
rts,1680,20,pace,42,0.3897511904761905,0.34681190476190477,0.7365630952380953
rts,1680,20,pace,123,0.39398333333333335,0.3435690476190476,0.737552380952381
rts,1680,20,pace,456,0.38753571428571426,0.35092738095238096,0.7384630952380953
rts,1680,20,pace,789,0.386625,0.35164761904761904,0.7382726190476191
rts,1680,20,pace,1234,0.3990142857142857,0.3400190476190476,0.7390333333333333
rts,1680,20,oracle,42,0.5987892857142857,0.14635714285714285,0.7451464285714285
rts,1680,20,oracle,123,0.5921488095238095,0.15192738095238095,0.7440761904761904
rts,1680,20,oracle,456,0.591754761904762,0.15365119047619047,0.7454059523809524
rts,1680,20,oracle,789,0.6042952380952381,0.14246071428571427,0.7467559523809524
rts,1680,20,oracle,1234,0.5939238095238095,0.1491107142857143,0.7430345238095238
