num_stas,method,harq_enabled,adaptive_cw,npca_qsrc,seed,mean_access_delay,p95_access_delay,p99_access_delay,mean_retx_count,aggregate_throughput,collision_probability_npca
50,fixed_q1_arq,False,False,1,42,613.2023121387283,1965.0,2371.0,6.08092485549133,173,0.8217179902755267
50,fixed_q1_arq,False,False,1,123,551.9144385026738,1698.0,1980.0,6.304812834224599,187,0.8281653746770026
50,fixed_q1_arq,False,False,1,456,591.5263157894736,1881.0,2822.0,6.818713450292398,171,0.8578199052132701
50,fixed_q2_arq,False,False,2,42,786.1520467836257,2641.0,4320.0,4.3274853801169595,171,0.6736842105263158
50,fixed_q2_arq,False,False,2,123,748.2817679558011,3448.0,4295.0,4.110497237569061,181,0.6423357664233577
50,fixed_q2_arq,False,False,2,456,753.0451977401129,2687.0,3601.0,4.27683615819209,177,0.6475095785440613
50,fixed_q3_arq,False,False,3,42,843.3788819875776,2955.0,4403.0,3.8819875776397517,161,0.46285714285714286
50,fixed_q3_arq,False,False,3,123,775.919540229885,2668.0,4309.0,3.586206896551724,174,0.3741496598639456
50,fixed_q3_arq,False,False,3,456,903.796511627907,3540.0,4429.0,3.4127906976744184,172,0.37888198757763975
50,adaptive_arq,False,True,0,42,485.01657458563534,1348.0,1904.0,7.734806629834254,181,0.8774459320288363
50,adaptive_arq,False,True,0,123,444.4,1391.0,1746.0,8.606451612903227,155,0.9008567931456548
50,adaptive_arq,False,True,0,456,453.1918604651163,1461.0,1884.0,8.761627906976743,172,0.91
50,fixed_q0_harq,True,False,0,42,486.21590909090907,1580.0,1944.0,7.619318181818182,176,0.9111922141119222
50,fixed_q0_harq,True,False,0,123,369.93975903614455,1157.0,1430.0,9.674698795180722,166,0.9234234234234234
50,fixed_q0_harq,True,False,0,456,381.3151515151515,1109.0,1433.0,11.860606060606061,165,0.9272486772486772
50,fixed_q1_harq,True,False,1,42,545.8901734104046,1938.0,2371.0,5.705202312138728,173,0.8507795100222717
50,fixed_q1_harq,True,False,1,123,551.9144385026738,1698.0,1980.0,6.304812834224599,187,0.8281653746770026
50,fixed_q1_harq,True,False,1,456,591.5263157894736,1881.0,2822.0,6.818713450292398,171,0.8578199052132701
50,fixed_q2_harq,True,False,2,42,790.1271676300578,2641.0,4320.0,4.277456647398844,173,0.6736842105263158
50,fixed_q2_harq,True,False,2,123,577.7109826589596,2032.0,3950.0,4.08092485549133,173,0.6030927835051546
50,fixed_q2_harq,True,False,2,456,788.0363636363636,2669.0,3092.0,4.5636363636363635,165,0.668918918918919
50,fixed_q3_harq,True,False,3,42,808.3081395348837,3278.0,4590.0,3.8313953488372094,172,0.4852941176470588
50,fixed_q3_harq,True,False,3,123,828.8666666666667,3557.0,4134.0,3.566666666666667,180,0.38620689655172413
50,fixed_q3_harq,True,False,3,456,928.035294117647,3540.0,4429.0,3.5058823529411764,170,0.3765432098765432
50,adaptive_harq,True,True,0,42,490.72727272727275,1580.0,1945.0,7.369318181818182,176,0.9046997389033943
50,adaptive_harq,True,True,0,123,443.96932515337426,1296.0,1603.0,8.349693251533742,163,0.8974056603773585
50,adaptive_harq,True,True,0,456,454.9651162790698,1461.0,1841.0,8.69767441860465,172,0.9078014184397163
