access,w_eff,n_vis,n_nat,eps,T,rho,idle,cv,sv
rts,210,20,20,0.0638469417991665,0.6521349206349206,0.350570166364444,0.4985242822645559,0.02991682318218406,0.03313657096860746
rts,210,20,20,0.0815286395421231,0.6509603174603175,0.3413516050767486,0.4981934965877158,0.0322494312859628,0.03251706142111602
rts,210,20,20,0.10410708607622314,0.6513650793650794,0.3619992201969003,0.4970509383378016,0.03324396782841823,0.034450402144772116
rts,210,20,20,0.13293838131178873,0.6459126984126984,0.3846654788966026,0.49682791435368756,0.0338355802273328,0.03528945281522601
rts,210,20,20,0.16975418188978358,0.6471428571428571,0.3939416237429482,0.4964830789648308,0.03702720637027206,0.035965494359654945
rts,210,20,20,0.21676570742564272,0.6472936507936508,0.39615493078630193,0.49774356251659146,0.0400849482346695,0.036633926201221134
rts,210,20,20,0.2767965501212033,0.6513888888888889,0.41929942126104175,0.49344328781938623,0.040286602676760846,0.04123293226983912
rts,210,20,20,0.35345226451597084,0.648968253968254,0.4284945579063226,0.4929350020185709,0.04521598708114655,0.04144798815771767
rts,210,20,20,0.4513369232266959,0.6471031746031746,0.4618384742748513,0.49115992499330297,0.05116528261451915,0.04420037503348513
rts,210,20,20,0.5763296453813948,0.6502698412698412,0.5293040740107892,0.48405560098119377,0.06350504224584355,0.054101935132188604
rts,210,20,20,0.7359377065160035,0.639436507936508,0.607106951805285,0.4810379241516966,0.0835662009314704,0.058815701929474384
rts,210,20,20,0.9397474383147868,0.6322777777777778,0.7022230032510324,0.47479437516582645,0.10480233483682674,0.06606526930220218
rts,210,20,20,1.2,0.6241904761904762,0.8051571559353067,0.4598326915416279,0.13597131854999336,0.07462488381357057
rts,210,50,0,0.05,0.7037460317460318,1.0,0.8003721133851374,0.02889350990478275,0.1707343767100799
rts,210,50,0,0.0638469417991665,0.7072063492063492,1.0,0.789289871944121,0.03154831199068685,0.17916181606519208
rts,210,50,0,0.0815286395421231,0.7072539682539682,1.0,0.7678110003691399,0.03875968992248062,0.1934293097083795
rts,210,50,0,0.10410708607622314,0.7079761904761904,1.0,0.7509105098855359,0.042273673257023935,0.20681581685744016
rts,210,50,0,0.13293838131178873,0.7100238095238095,1.0,0.7314009661835749,0.04941338854382333,0.2191856452726018
rts,210,50,0,0.16975418188978358,0.7100238095238095,1.0,0.7077546296296297,0.06177662037037037,0.23046875
rts,210,50,0,0.21676570742564272,0.7092539682539682,1.0,0.68,0.07384615384615385,0.24615384615384617
rts,210,50,0,0.2767965501212033,0.7056984126984127,1.0,0.6450394218134035,0.09822601839684625,0.25673455978975035
rts,210,50,0,0.35345226451597084,0.7062222222222222,1.0,0.6124476987447699,0.11227336122733612,0.275278940027894
rts,210,50,0,0.4513369232266959,0.6909444444444445,1.0,0.5818815331010453,0.14825783972125436,0.2698606271777004
rts,210,50,0,0.5763296453813948,0.6856746031746032,1.0,0.5392641405820977,0.17664287021782904,0.2840929892000732
rts,210,50,0,0.7359377065160035,0.6783095238095238,1.0,0.5092278719397364,0.20772128060263653,0.2830508474576271
rts,210,50,0,0.9397474383147868,0.6497380952380952,1.0,0.47689228529839883,0.25382096069869,0.2692867540029112
rts,210,50,0,1.2,0.6286031746031746,1.0,0.43304791400983783,0.3104390599380579,0.2565130260521042
rts,210,50,5,0.05,0.7451904761904762,0.5304236692440412,0.630022014309301,0.04774353329664282,0.10594386351128234
rts,210,50,5,0.0638469417991665,0.7454444444444445,0.529516853693333,0.6268221574344023,0.05428293766486186,0.10634457864778564
rts,210,50,5,0.0815286395421231,0.7424126984126984,0.536241768579492,0.6276173532229369,0.05652114410838922,0.10797865060900506
rts,210,50,5,0.10410708607622314,0.7434047619047619,0.5424313273334829,0.6228373702422145,0.058546712802768165,0.11072664359861592
rts,210,50,5,0.13293838131178873,0.7383888888888889,0.5981738448144287,0.6210051898388419,0.06500956022944551,0.11977601748156241
rts,210,50,5,0.16975418188978358,0.732579365079365,0.6119386815448784,0.6147451621695285,0.07495230307985827,0.12251294630689562
rts,210,50,5,0.21676570742564272,0.7345079365079366,0.6234775467865324,0.6046772160761799,0.08220137235681277,0.1270130233860804
rts,210,50,5,0.2767965501212033,0.7282539682539683,0.6697700523103749,0.5995569094433675,0.08958737191913597,0.1340348933813348
rts,210,50,5,0.35345226451597084,0.7246825396825397,0.6983933851713942,0.589131042190556,0.10310142497904443,0.1399832355406538
rts,210,50,5,0.4513369232266959,0.7223492063492063,0.7484607102047992,0.5761457443780245,0.1138627953316254,0.15229148875604895
rts,210,50,5,0.5763296453813948,0.7061746031746031,0.7574198116388322,0.5607658157602664,0.13540510543840178,0.1509433962264151
rts,210,50,5,0.7359377065160035,0.6994444444444444,0.7923794394644276,0.5394438138479001,0.15820090805902384,0.1627412031782066
rts,210,50,5,0.9397474383147868,0.6793650793650794,0.8249228971962617,0.5307597872050198,0.18169417541945165,0.15632246623925794
rts,210,50,5,1.2,0.6566269841269842,0.8509361213513024,0.5066344993968637,0.21766519233346737,0.15520707679935666
rts,210,50,10,0.05,0.7098650793650794,0.448992095524524,0.5482519503033805,0.06818838485986708,0.08119040739670616
rts,210,50,10,0.0638469417991665,0.711484126984127,0.46252077593226765,0.5495586745767617,0.06873100853711474,0.08522645058602228
rts,210,50,10,0.0815286395421231,0.7143730158730158,0.4869138216440213,0.5498251748251748,0.06745337995337995,0.09076340326340326
rts,210,50,10,0.10410708607622314,0.7119920634920635,0.47500529477990433,0.5472246439988375,0.06785818076140657,0.08820110433013659
