method,ppdu_dist,N,W_eff,seed,visit,successes,oracle_successes,efficiency,useful_slots,W_eff_utilization,viable_slots_wasted,collision_rate,tau_rmse,false_trigger_rate
consec_L2,homo,10,100,42,1000,9.966,10.0,0.9965999999999995,59.796,0.5979600000000109,20.091,0.08413883645519481,0.1746701795349051,1.6342976639652056
and,homo,10,100,42,1000,9.763,10.0,0.9762999999999965,58.578,0.5857800000000092,15.954,0.3757410310301491,0.0,0.0
pnd,homo,10,100,42,1000,10.0,10.0,1.0,60.0,0.6000000000000113,10.574,0.19095510464495152,0.0,0.0
oracle,homo,10,100,42,1000,9.999,10.0,0.9999,59.994,0.5999400000000114,7.092,0.23328881276072783,0.0,0.0
dcf_self_excl,homo,10,100,123,1000,9.184,10.0,0.9183999999999924,55.104,0.5510400000000076,33.495,0.08244986960699939,0.0,0.0
ema_ad_low,homo,10,100,123,1000,9.992,10.0,0.9992,59.952,0.5995200000000113,19.72,0.0901406866852726,0.19732615338661086,1.8248378861601087
consec_L2,homo,10,100,123,1000,9.974,10.0,0.9973999999999995,59.844,0.598440000000011,20.284,0.0834150371594688,0.1737248302596403,1.6492031969432268
and,homo,10,100,123,1000,9.717,10.0,0.971699999999996,58.302,0.5830200000000093,16.117,0.3785546947862509,0.0,0.0
pnd,homo,10,100,123,1000,9.999,10.0,0.9999,59.994,0.5999400000000114,10.803,0.1946983310191391,0.0,0.0
oracle,homo,10,100,123,1000,9.999,10.0,0.9999,59.994,0.5999400000000114,7.19,0.23778342126132565,0.0,0.0
dcf_self_excl,homo,10,100,456,1000,9.188,9.999,0.9189111111111037,55.128,0.5512800000000072,33.402,0.08260426094289094,0.0,0.0
ema_ad_low,homo,10,100,456,1000,9.998,9.999,0.9999111111111111,59.988,0.5998800000000113,19.528,0.08901409963913402,0.19618938318613896,1.819357473908602
consec_L2,homo,10,100,456,1000,9.968,9.999,0.9969111111111106,59.808,0.5980800000000108,20.124,0.08378561669435501,0.17619659341700702,1.6290847392477747
and,homo,10,100,456,1000,9.752,9.999,0.9753111111111074,58.512,0.5851200000000091,15.819,0.3815117368902742,0.0,0.0
pnd,homo,10,100,456,1000,10.0,9.999,1.0001111111111112,60.0,0.6000000000000113,10.828,0.1939725282434036,0.0,0.0
oracle,homo,10,100,456,1000,10.0,9.999,1.0001111111111112,60.0,0.6000000000000113,6.98,0.2367401182214862,0.0,0.0
dcf_self_excl,homo,10,100,789,1000,9.183,10.0,0.9182999999999922,55.098,0.5509800000000082,33.503,0.08246076478306555,0.0,0.0
ema_ad_low,homo,10,100,789,1000,9.996,10.0,0.9995999999999999,59.976,0.5997600000000113,19.457,0.08928649228674153,0.19745958908712022,1.79389441998858
consec_L2,homo,10,100,789,1000,9.96,10.0,0.9959999999999994,59.76,0.597600000000011,20.204,0.08331512131973506,0.17351163644364906,1.6589430712509032
and,homo,10,100,789,1000,9.707,10.0,0.9706999999999955,58.242,0.5824200000000084,16.435,0.3764822837966285,0.0,0.0
pnd,homo,10,100,789,1000,9.998,10.0,0.9997999999999999,59.988,0.5998800000000114,10.683,0.1947005343478253,0.0,0.0
oracle,homo,10,100,789,1000,10.0,10.0,1.0,60.0,0.6000000000000113,7.057,0.23986354033364582,0.0,0.0
dcf_self_excl,homo,10,100,1234,1000,9.171,10.0,0.9170999999999926,55.026,0.550260000000008,33.477,0.08259213571064501,0.0,0.0
ema_ad_low,homo,10,100,1234,1000,9.998,10.0,0.9997999999999999,59.988,0.5998800000000113,19.58,0.0883953025049532,0.1963291761135439,1.7860503027197063
consec_L2,homo,10,100,1234,1000,9.96,10.0,0.9959999999999993,59.76,0.5976000000000109,20.453,0.08436396227983017,0.1725347345625839,1.6751560746143161
and,homo,10,100,1234,1000,9.734,10.0,0.9733999999999959,58.404,0.5840400000000097,16.14,0.38048394352585113,0.0,0.0
pnd,homo,10,100,1234,1000,9.996,10.0,0.9995999999999999,59.976,0.5997600000000113,10.71,0.19020222609497722,0.0,0.0
oracle,homo,10,100,1234,1000,10.0,10.0,1.0,60.0,0.6000000000000113,7.14,0.24124666046519014,0.0,0.0
dcf_self_excl,homo,10,200,42,1000,9.991,10.0,0.9990999999999998,59.946,0.29973000000000566,43.429,0.0707622043487635,0.0,0.0
