access,w_eff,n_vis,eps_idle,eps_coll,T,rho
rts,105,50,0.69711,0.67142,0.64584,0.57015
rts,105,50,0.69711,1.10914,0.65703,0.47799
rts,105,50,0.69711,1.83223,0.65265,0.39277
rts,105,50,0.69711,3.02674,0.65775,0.34131
rts,105,50,0.69711,5.0,0.6527,0.31331
rts,105,50,1.0,0.02,0.60684,0.7089
rts,105,50,1.0,0.03304,0.60565,0.7247
rts,105,50,1.0,0.05458,0.60229,0.69823
rts,105,50,1.0,0.09016,0.61025,0.7075
rts,105,50,1.0,0.14894,0.61944,0.69543
rts,105,50,1.0,0.24604,0.60327,0.70328
rts,105,50,1.0,0.40644,0.63084,0.67607
rts,105,50,1.0,0.67142,0.6359,0.64733
rts,105,50,1.0,1.10914,0.64292,0.57905
rts,105,50,1.0,1.83223,0.63924,0.48459
rts,105,50,1.0,3.02674,0.64116,0.3843
rts,105,50,1.0,5.0,0.64387,0.3563
rts,210,5,0.08,0.02,0.71353,0.16147
rts,210,5,0.08,0.03304,0.7134,0.16297
rts,210,5,0.08,0.05458,0.71342,0.15676
rts,210,5,0.08,0.09016,0.7124,0.15591
rts,210,5,0.08,0.14894,0.71237,0.14853
rts,210,5,0.08,0.24604,0.71124,0.14987
rts,210,5,0.08,0.40644,0.71105,0.13916
rts,210,5,0.08,0.67142,0.71132,0.12428
rts,210,5,0.08,1.10914,0.71355,0.11689
rts,210,5,0.08,1.83223,0.71376,0.11262
rts,210,5,0.08,3.02674,0.71461,0.11025
rts,210,5,0.08,5.0,0.71604,0.1084
rts,210,5,0.11476,0.02,0.71312,0.16186
rts,210,5,0.11476,0.03304,0.71312,0.16186
rts,210,5,0.11476,0.05458,0.71386,0.16497
rts,210,5,0.11476,0.09016,0.714,0.16033
rts,210,5,0.11476,0.14894,0.71298,0.15715
rts,210,5,0.11476,0.24604,0.71263,0.15549
rts,210,5,0.11476,0.40644,0.71197,0.14009
rts,210,5,0.11476,0.67142,0.71221,0.13804
rts,210,5,0.11476,1.10914,0.7136,0.11711
rts,210,5,0.11476,1.83223,0.71424,0.11257
rts,210,5,0.11476,3.02674,0.71509,0.11021
rts,210,5,0.11476,5.0,0.71602,0.10757
rts,210,5,0.16462,0.02,0.71178,0.21536
rts,210,5,0.16462,0.03304,0.71255,0.21499
rts,210,5,0.16462,0.05458,0.7116,0.21979
rts,210,5,0.16462,0.09016,0.71229,0.21059
rts,210,5,0.16462,0.14894,0.71202,0.19569
rts,210,5,0.16462,0.24604,0.71202,0.17619
rts,210,5,0.16462,0.40644,0.71254,0.16002
rts,210,5,0.16462,0.67142,0.71101,0.16579
rts,210,5,0.16462,1.10914,0.7105,0.13656
rts,210,5,0.16462,1.83223,0.71303,0.13056
rts,210,5,0.16462,3.02674,0.71452,0.12446
rts,210,5,0.16462,5.0,0.71547,0.1218
rts,210,5,0.23615,0.02,0.70923,0.32792
rts,210,5,0.23615,0.03304,0.70932,0.32523
rts,210,5,0.23615,0.05458,0.71054,0.31257
rts,210,5,0.23615,0.09016,0.71119,0.30449
rts,210,5,0.23615,0.14894,0.70979,0.29881
rts,210,5,0.23615,0.24604,0.71102,0.25912
rts,210,5,0.23615,0.40644,0.71081,0.22878
rts,210,5,0.23615,0.67142,0.71206,0.19558
rts,210,5,0.23615,1.10914,0.70617,0.16743
rts,210,5,0.23615,1.83223,0.70935,0.15088
rts,210,5,0.23615,3.02674,0.71049,0.14323
rts,210,5,0.23615,5.0,0.71206,0.14067
rts,210,5,0.33876,0.02,0.7112,0.41473
rts,210,5,0.33876,0.03304,0.71182,0.4158
rts,210,5,0.33876,0.05458,0.71091,0.40709
rts,210,5,0.33876,0.09016,0.71237,0.40953
rts,210,5,0.33876,0.14894,0.71407,0.40239
rts,210,5,0.33876,0.24604,0.71321,0.38852
rts,210,5,0.33876,0.40644,0.71141,0.34248
rts,210,5,0.33876,0.67142,0.71072,0.2741
rts,210,5,0.33876,1.10914,0.7068,0.23304
rts,210,5,0.33876,1.83223,0.70842,0.19036
rts,210,5,0.33876,3.02674,0.71233,0.17708
rts,210,5,0.33876,5.0,0.71439,0.17041
rts,210,5,0.48596,0.02,0.70537,0.69073
rts,210,5,0.48596,0.03304,0.70498,0.69925
rts,210,5,0.48596,0.05458,0.70883,0.68402
rts,210,5,0.48596,0.09016,0.70921,0.66536
rts,210,5,0.48596,0.14894,0.71133,0.65722
rts,210,5,0.48596,0.24604,0.71085,0.62879
rts,210,5,0.48596,0.40644,0.70772,0.51735
rts,210,5,0.48596,0.67142,0.71154,0.50036
rts,210,5,0.48596,1.10914,0.70985,0.37895
rts,210,5,0.48596,1.83223,0.70889,0.27659
rts,210,5,0.48596,3.02674,0.7084,0.24314
rts,210,5,0.48596,5.0,0.71001,0.22421
rts,210,5,0.69711,0.02,0.69082,0.97659
rts,210,5,0.69711,0.03304,0.68503,0.99311
rts,210,5,0.69711,0.05458,0.68979,0.96906
rts,210,5,0.69711,0.09016,0.68891,1.00728
rts,210,5,0.69711,0.14894,0.69192,0.95776
rts,210,5,0.69711,0.24604,0.69551,0.88835
rts,210,5,0.69711,0.40644,0.69792,0.83114
rts,210,5,0.69711,0.67142,0.70607,0.75013
rts,210,5,0.69711,1.10914,0.70356,0.68952
rts,210,5,0.69711,1.83223,0.7033,0.50348
rts,210,5,0.69711,3.02674,0.70723,0.40072
rts,210,5,0.69711,5.0,0.70935,0.37895
rts,210,5,1.0,0.02,0.66363,1.30531
rts,210,5,1.0,0.03304,0.6659,1.28036
rts,210,5,1.0,0.05458,0.66506,1.31869
rts,210,5,1.0,0.09016,0.66933,1.3657
rts,210,5,1.0,0.14894,0.67201,1.33927
rts,210,5,1.0,0.24604,0.67759,1.27191
rts,210,5,1.0,0.40644,0.67412,1.35362
rts,210,5,1.0,0.67142,0.68053,1.1702
rts,210,5,1.0,1.10914,0.68721,1.14134
rts,210,5,1.0,1.83223,0.69251,1.00064
rts,210,5,1.0,3.02674,0.69517,0.75275
rts,210,5,1.0,5.0,0.69345,0.65936
rts,210,10,0.08,0.02,0.71558,0.21785
rts,210,10,0.08,0.03304,0.71574,0.21572
rts,210,10,0.08,0.05458,0.71467,0.21549
rts,210,10,0.08,0.09016,0.71457,0.21454
rts,210,10,0.08,0.14894,0.71566,0.21621
rts,210,10,0.08,0.24604,0.71596,0.21414
rts,210,10,0.08,0.40644,0.71451,0.19047
rts,210,10,0.08,0.67142,0.71512,0.17837
rts,210,10,0.08,1.10914,0.71616,0.15965
rts,210,10,0.08,1.83223,0.7169,0.13931
rts,210,10,0.08,3.02674,0.71377,0.12062
rts,210,10,0.08,5.0,0.71339,0.11988
rts,210,10,0.11476,0.02,0.71135,0.25297
rts,210,10,0.11476,0.03304,0.70989,0.25139
rts,210,10,0.11476,0.05458,0.71388,0.23431
rts,210,10,0.11476,0.09016,0.71267,0.22905
rts,210,10,0.11476,0.14894,0.71395,0.21277
rts,210,10,0.11476,0.24604,0.71425,0.21768
rts,210,10,0.11476,0.40644,0.71326,0.19973
rts,210,10,0.11476,0.67142,0.7124,0.17945
rts,210,10,0.11476,1.10914,0.71406,0.16585
rts,210,10,0.11476,1.83223,0.71459,0.13163
rts,210,10,0.11476,3.02674,0.71229,0.11797
rts,210,10,0.11476,5.0,0.711,0.11607
rts,210,10,0.16462,0.02,0.70964,0.29751
rts,210,10,0.16462,0.03304,0.70906,0.29158
rts,210,10,0.16462,0.05458,0.70973,0.29209
rts,210,10,0.16462,0.09016,0.70965,0.28194
rts,210,10,0.16462,0.14894,0.70979,0.26232
rts,210,10,0.16462,0.24604,0.71091,0.2442
rts,210,10,0.16462,0.40644,0.71419,0.2335
rts,210,10,0.16462,0.67142,0.71115,0.19758
rts,210,10,0.16462,1.10914,0.71264,0.18523
rts,210,10,0.16462,1.83223,0.7115,0.1573
rts,210,10,0.16462,3.02674,0.71051,0.13364
