topology,N,W_eff,protocol,seed,CW0,mean_success,std_success,mean_spatial_reuse,mean_degree,alpha_G
complete,16,20,dcf_topology,456,32,4.565,1.3913213144345917,0.0,15.0,1
complete,16,20,mfg_full_N,456,,7.775,2.331174596635782,0.0,15.0,1
complete,16,20,mfg_perfect_local,456,,7.775,2.331174596635782,0.0,15.0,1
complete,16,20,mfg_carrier_sense,456,,7.46,2.0489997559785116,0.0,15.0,1
complete,16,20,oracle_topology,456,20,5.1125,0.0,0.0,15.0,1
complete,16,50,dcf_ieee,456,16,10.765,2.0173683352328102,0.0,15.0,1
complete,16,50,dcf_topology,456,32,10.955,2.067117558340599,0.0,15.0,1
complete,16,50,mfg_full_N,456,,15.865,0.7725121358270044,0.0,15.0,1
complete,16,50,mfg_perfect_local,456,,15.865,0.7725121358270044,0.0,15.0,1
complete,16,50,mfg_carrier_sense,456,,14.075,1.4997916521970645,0.0,15.0,1
complete,16,50,oracle_topology,456,16,11.325,0.0,0.0,15.0,1
complete,16,100,dcf_ieee,456,16,15.0,1.1445523142259597,0.0,15.0,1
complete,16,100,dcf_topology,456,32,15.02,1.1311940593903416,0.0,15.0,1
complete,16,100,mfg_full_N,456,,16.0,0.0,0.0,15.0,1
complete,16,100,mfg_perfect_local,456,,16.0,0.0,0.0,15.0,1
complete,16,100,mfg_carrier_sense,456,,15.885,0.3343276835680827,0.0,15.0,1
complete,16,100,oracle_topology,456,11,15.2375,0.0,0.0,15.0,1
complete,16,200,dcf_ieee,456,16,15.955,0.23016298572967808,0.0,15.0,1
complete,16,200,dcf_topology,456,32,15.945,0.24894778569009204,0.0,15.0,1
complete,16,200,mfg_full_N,456,,16.0,0.0,0.0,15.0,1
complete,16,200,mfg_perfect_local,456,,16.0,0.0,0.0,15.0,1
complete,16,200,mfg_carrier_sense,456,,16.0,0.0,0.0,15.0,1
complete,16,200,oracle_topology,456,32,16.0,0.0,0.0,15.0,1
complete,16,500,dcf_ieee,456,16,16.0,0.0,0.0,15.0,1
complete,16,500,dcf_topology,456,32,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_full_N,456,,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_perfect_local,456,,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_carrier_sense,456,,16.0,0.0,0.0,15.0,1
complete,16,500,oracle_topology,456,4,16.0,0.0,0.0,15.0,1
complete,16,20,dcf_ieee,789,16,4.8,1.4866068747318506,0.0,15.0,1
complete,16,20,dcf_topology,789,32,4.465,1.4243507292798359,0.0,15.0,1
complete,16,20,mfg_full_N,789,,8.07,2.219256632298302,0.0,15.0,1
complete,16,20,mfg_perfect_local,789,,8.07,2.219256632298302,0.0,15.0,1
complete,16,20,mfg_carrier_sense,789,,7.365,1.9879071909925774,0.0,15.0,1
complete,16,20,oracle_topology,789,20,4.875,0.0,0.0,15.0,1
complete,16,50,dcf_ieee,789,16,10.645,2.0295258066849016,0.0,15.0,1
complete,16,50,dcf_topology,789,32,10.8,2.177154105707724,0.0,15.0,1
complete,16,50,mfg_full_N,789,,15.825,0.7644442425710328,0.0,15.0,1
complete,16,50,mfg_perfect_local,789,,15.825,0.7644442425710328,0.0,15.0,1
complete,16,50,mfg_carrier_sense,789,,13.835,1.5420035667922434,0.0,15.0,1
complete,16,50,oracle_topology,789,32,10.925,0.0,0.0,15.0,1
complete,16,100,dcf_ieee,789,16,15.07,1.046470257580214,0.0,15.0,1
complete,16,100,dcf_topology,789,32,14.925,1.2038999127834504,0.0,15.0,1
complete,16,100,mfg_full_N,789,,16.0,0.0,0.0,15.0,1
complete,16,100,mfg_perfect_local,789,,16.0,0.0,0.0,15.0,1
complete,16,100,mfg_carrier_sense,789,,15.865,0.3560547710675986,0.0,15.0,1
complete,16,100,oracle_topology,789,11,15.35,0.0,0.0,15.0,1
complete,16,200,dcf_ieee,789,16,15.965,0.20922475952907676,0.0,15.0,1
complete,16,200,dcf_topology,789,32,15.935,0.24652586071242097,0.0,15.0,1
