method,churn,N_visitor,N_native,W_eff,seed,visit,efficiency,util_v,util_n,collision_rate,tau0_mean
cold_high,0.0,10,0,50,42,8,0.15151515151515152,0.049,0.0,0.8522619047619047,0.5
cold_high,0.0,10,0,50,42,9,0.10526315789473684,0.044,0.0,0.8416666666666666,0.5
cold_high,0.0,10,0,50,42,10,0.109375,0.033,0.0,0.9157142857142857,0.5
cold_high,0.0,10,0,50,42,11,0.0958904109589041,0.03200000000000001,0.0,0.8783333333333335,0.5
cold_high,0.0,10,0,50,42,12,0.2054794520547945,0.07200000000000001,0.0,0.802857142857143,0.5
cold_high,0.0,10,0,50,42,13,0.14814814814814814,0.062,0.0,0.8745238095238097,0.5
cold_high,0.0,10,0,50,42,14,0.14492753623188406,0.044,0.0,0.8857142857142858,0.5
cold_high,0.0,10,0,50,42,15,0.08108108108108109,0.024,0.0,0.9040476190476191,0.5
cold_high,0.0,10,0,50,42,16,0.15584415584415584,0.05800000000000001,0.0,0.8461904761904764,0.5
cold_high,0.0,10,0,50,42,17,0.06097560975609756,0.023,0.0,0.9119047619047619,0.5
cold_high,0.0,10,0,50,42,18,0.18309859154929578,0.075,0.0,0.8252380952380953,0.5
cold_high,0.0,10,0,50,42,19,0.1232876712328767,0.044000000000000004,0.0,0.8973809523809525,0.5
cold_high,0.0,10,0,50,42,20,0.11688311688311688,0.051000000000000004,0.0,0.8838095238095238,0.5
cold_high,0.0,10,0,50,42,21,0.07692307692307693,0.03,0.0,0.9266666666666665,0.5
cold_high,0.0,10,0,50,42,22,0.16,0.043,0.0,0.8357738095238098,0.5
cold_high,0.0,10,0,50,42,23,0.1625,0.05900000000000001,0.0,0.830952380952381,0.5
cold_high,0.0,10,0,50,42,24,0.136986301369863,0.041999999999999996,0.0,0.8464285714285712,0.5
cold_high,0.0,10,0,50,42,25,0.19117647058823528,0.065,0.0,0.8485714285714285,0.5
cold_high,0.0,10,0,50,42,26,0.13043478260869565,0.047,0.0,0.8783333333333335,0.5
cold_high,0.0,10,0,50,42,27,0.17333333333333334,0.061,0.0,0.812857142857143,0.5
cold_high,0.0,10,0,50,42,28,0.13793103448275862,0.057999999999999996,0.0,0.8423214285714288,0.5
cold_high,0.0,10,0,50,42,29,0.08536585365853659,0.040999999999999995,0.0,0.8627380952380953,0.5
cold_high,0.0,10,0,50,42,30,0.1375,0.06100000000000001,0.0,0.8408333333333335,0.5
cold_high,0.0,10,0,50,42,31,0.13157894736842105,0.057999999999999996,0.0,0.8633333333333333,0.5
cold_high,0.0,10,0,50,42,32,0.12941176470588237,0.040999999999999995,0.0,0.8823809523809525,0.5
cold_high,0.0,10,0,50,42,33,0.09859154929577464,0.032,0.0,0.9166666666666667,0.5
cold_high,0.0,10,0,50,42,34,0.16216216216216217,0.06100000000000001,0.0,0.8577380952380954,0.5
cold_high,0.0,10,0,50,42,35,0.25,0.095,0.0,0.8076190476190476,0.5
cold_high,0.0,10,0,50,42,36,0.0547945205479452,0.02,0.0,0.9356547619047619,0.5
cold_high,0.0,10,0,50,42,37,0.15584415584415584,0.05700000000000001,0.0,0.8663095238095238,0.5
cold_high,0.0,10,0,50,42,38,0.15492957746478872,0.05800000000000001,0.0,0.8683333333333332,0.5
