eps_idle,eps_coll,c_idle,c_coll,T,rho
0.125992,0.503968,1.1342730940619756,1.6552763934649535,0.7155654761904762,0.11993788905987883
0.15874,0.503968,1.1720331784361693,1.6552763934649535,0.7194791666666667,0.13832757657862624
0.2,0.503968,1.2214027581601699,1.6552763934649535,0.7175099206349206,0.21068786726581404
0.251984,0.503968,1.2865754519129273,1.6552763934649535,0.7178720238095239,0.28819192526412524
0.31748,0.503968,1.3736617713551895,1.6552763934649535,0.7182440476190476,0.409342670478874
0.4,0.503968,1.4918246976412703,1.6552763934649535,0.7179265873015873,0.5949949562645958
0.503968,0.503968,1.6552763934649535,1.6552763934649535,0.7149553571428572,0.8012349533423526
0.63496,0.503968,1.886946662082677,1.6552763934649535,0.7028918650793651,1.047599556819545
0.8,0.503968,2.225540928492468,1.6552763934649535,0.6818303571428571,1.2269291487519733
0.05,0.63496,1.0512710963760241,1.886946662082677,0.7164980158730159,0.08930673054290185
0.062996,0.63496,1.0650225791324688,1.886946662082677,0.7173164682539682,0.07605230584118775
0.07937,0.63496,1.0826048117555036,1.886946662082677,0.7203174603174604,0.0876487439400617
