n_vis,n_nat,w_eff,access,alpha,candidate,c_idle,c_coll,seed,visits,A_vis,A_nat,coll_air,idle_slots,oh_air,epochs,n_idle,n_coll,n_solo_vis,n_solo_nat,tau_cv_sum,tau_cv_cnt
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,125,30,1623.0,7487.0,1176,400,1914,693,400,99,28,166,22.37787597873711,611
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,126,30,834.0,8196.0,1206,418,1946,715,418,101,17,179,21.551338214659836,637
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,127,30,1632.0,7416.0,1205,423,1924,718,423,101,31,163,20.3088246059789,612
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,128,30,1615.0,7787.0,886,338,1974,611,338,75,27,171,14.939097554280098,546
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,129,30,1584.0,7466.0,1284,415,1851,709,415,108,24,162,34.037751222912945,635
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,130,30,2067.0,6913.0,1373,443,1804,742,443,116,32,151,26.188875795166243,645
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,131,30,1189.0,7992.0,1100,392,1927,679,392,92,18,177,18.574992617497355,596
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,132,30,862.0,8143.0,1272,422,1901,721,422,108,16,175,27.338978970713658,636
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,133,30,1661.0,7160.0,1462,452,1865,762,452,122,29,159,29.789406323263815,678
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,134,30,1393.0,7598.0,1279,433,1897,732,433,107,26,166,32.484764215381496,634
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,135,30,1429.0,7893.0,951,373,1954,651,373,81,25,172,14.690463940238272,570
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,136,30,1726.0,7326.0,1252,415,1881,714,415,106,28,165,18.678518261649508,640
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,137,30,1441.0,7473.0,1371,434,1881,740,434,116,24,166,20.459616772870277,639
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,138,30,1660.0,7598.0,1049,391,1902,671,391,89,26,165,17.217077333543713,589
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,139,30,1309.0,7770.0,1164,411,1946,706,411,97,25,173,29.822214129793124,628
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,140,30,1344.0,7555.0,1403,431,1867,739,431,118,23,167,22.757944234941743,657
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,141,30,1201.0,7825.0,1235,427,1912,724,427,104,22,171,29.625567630961818,650
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,142,30,1328.0,7937.0,1049,390,1896,671,390,89,21,171,13.344302472250085,594
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,143,30,1841.0,7119.0,1352,443,1845,745,443,114,32,156,21.09188315525114,665
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,144,30,892.0,8007.0,1355,422,1924,728,422,113,17,176,29.479266575076494,654
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,145,30,1366.0,7576.0,1307,436,1915,739,436,109,23,171,15.985060119228152,657
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,146,30,1268.0,7717.0,1327,409,1879,708,409,111,22,166,27.609254644297692,618
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,147,30,1411.0,7585.0,1257,440,1907,740,440,107,25,168,28.880214259181383,651
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,148,30,1102.0,7941.0,1237,420,1900,716,420,105,20,171,23.759519467825786,635
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,149,30,1544.0,7762.0,983,371,1940,651,371,85,25,170,13.184222473802386,565
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,150,30,1290.0,7797.0,1200,396,1917,689,396,100,20,173,24.48815397204365,617
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,151,30,1546.0,7473.0,1293,421,1867,718,421,109,25,163,18.894167283075014,627
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,152,30,1674.0,7472.0,1178,409,1867,698,409,100,27,162,22.883144807766445,613
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,153,30,1482.0,7623.0,1195,423,1877,713,423,101,24,165,23.017912443075534,645
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,154,30,1604.0,7645.0,1052,387,1912,669,387,88,23,171,22.12574962508748,598
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,155,30,1647.0,7419.0,1249,418,1867,713,418,106,26,163,9.410845195877696,627
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,156,30,2078.0,6768.0,1447,457,1850,769,457,122,37,153,32.897586752192524,679
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,157,30,1805.0,7367.0,1131,390,1907,677,390,96,29,162,20.17926294601436,599
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,158,30,1775.0,7229.0,1311,435,1850,733,435,111,27,160,27.889194557206856,638
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,159,30,1647.0,7279.0,1331,437,1906,739,437,111,30,161,24.494636118471522,642
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,160,30,1228.0,7911.0,1099,413,1949,702,413,94,20,175,12.866890236469873,606
10,10,420,rts,0.0,equilibrium_ratio,1.0082287133097227,1.047149859556855,101,30,582.0,8322.0,1310,474,1912,777,474,111,8,184,1.606481646171278,686
10,10,420,rts,0.0,equilibrium_ratio,1.0082287133097227,1.047149859556855,102,30,350.0,8712.0,1177,410,1951,705,410,99,6,190,3.830977507949242e-14,614
10,10,420,rts,0.0,equilibrium_ratio,1.0082287133097227,1.047149859556855,103,30,540.0,8605.0,1120,412,1923,700,412,95,8,185,0.9449790053249796,622
10,10,420,rts,0.0,equilibrium_ratio,1.0082287133097227,1.047149859556855,104,30,609.0,8567.0,1065,404,1955,691,404,90,11,186,0.5790955536854261,618
