method,churn,N_visitor,N_native,W_eff,seed,visit,efficiency,util_v,util_n,collision_rate,tau0_mean
dcf_conv,0.0,10,0,50,42,8,1.3333333333333333,0.508,0.0,0.1289857974842495,nan
dcf_conv,0.0,10,0,50,42,9,0.7,0.43199999999999994,0.0,0.1263042220936958,nan
dcf_conv,0.0,10,0,50,42,10,1.7272727272727273,0.5,0.0,0.07876750700280111,nan
dcf_conv,0.0,10,0,50,42,11,0.8636363636363636,0.556,0.0,0.10282051282051281,nan
dcf_conv,0.0,10,0,50,42,12,0.8947368421052632,0.45999999999999996,0.0,0.09837068160597572,nan
dcf_conv,0.0,10,0,50,42,13,0.8888888888888888,0.56,0.0,0.09856643356643358,nan
dcf_conv,0.0,10,0,50,42,14,1.2307692307692308,0.4879999999999999,0.0,0.12282051282051283,nan
dcf_conv,0.0,10,0,50,42,15,0.7777777777777778,0.48,0.0,0.10713064713064713,nan
dcf_conv,0.0,10,0,50,42,16,0.7142857142857143,0.396,0.0,0.12709159261790842,nan
dcf_conv,0.0,10,0,50,42,17,1.0,0.516,0.0,0.08851049191606468,nan
dcf_conv,0.0,10,0,50,42,18,1.105263157894737,0.528,0.0,0.08216374269005847,nan
dcf_conv,0.0,10,0,50,42,19,0.6956521739130435,0.42799999999999994,0.0,0.12506787330316743,nan
dcf_conv,0.0,10,0,50,42,20,0.8947368421052632,0.41999999999999993,0.0,0.11867167919799497,nan
dcf_conv,0.0,10,0,50,42,21,1.0,0.43599999999999994,0.0,0.130662278897573,nan
dcf_conv,0.0,10,0,50,42,22,0.7894736842105263,0.42400000000000004,0.0,0.10558069381598793,nan
dcf_conv,0.0,10,0,50,42,23,0.8571428571428571,0.524,0.0,0.10174825174825175,nan
dcf_conv,0.0,10,0,50,42,24,1.0555555555555556,0.54,0.0,0.07521367521367521,nan
dcf_conv,0.0,10,0,50,42,25,1.125,0.556,0.0,0.08603896103896104,nan
dcf_conv,0.0,10,0,50,42,26,1.2666666666666666,0.5519999999999999,0.0,0.06653307476836888,nan
dcf_conv,0.0,10,0,50,42,27,1.1578947368421053,0.6479999999999999,0.0,0.039285714285714285,nan
dcf_conv,0.0,10,0,50,42,28,1.1904761904761905,0.64,0.0,0.04095238095238095,nan
dcf_conv,0.0,10,0,50,42,29,0.5238095238095238,0.356,0.0,0.17743589743589744,nan
oracle,0.0,10,10,50,42,0,0.6111111111111112,0.26399999999999996,0.24000000000000005,0.1612994023520339,nan
oracle,0.0,10,10,50,42,1,1.5833333333333333,0.45599999999999996,0.192,0.1700865800865801,nan
oracle,0.0,10,10,50,42,2,1.3076923076923077,0.45600000000000007,0.096,0.185021645021645,nan
oracle,0.0,10,10,50,42,3,0.9285714285714286,0.324,0.16799999999999998,0.19153846153846155,nan
oracle,0.0,10,10,50,42,4,1.1538461538461537,0.45600000000000007,0.192,0.13934046345811052,nan
oracle,0.0,10,10,50,42,5,1.1428571428571428,0.42000000000000004,0.12,0.19584859584859585,nan
oracle,0.0,10,10,50,42,6,0.7058823529411765,0.36800000000000005,0.24,0.19680319680319683,nan
