method,cd,N,W_eff,seed,W_eff_utilization,efficiency,collision_rate,successes
dcf_self_excl,1,50,100,456,0.67664,0.8534502997002997,0.16424789413728635,8.926
and,1,50,100,456,0.20312000000000005,0.29945680569430566,0.9449182883468678,3.12
oracle,0,50,100,456,0.47464000000000006,1.08209932012432,0.2811004232890395,6.236
pnd,0,50,100,456,0.45364,1.0313620324120325,0.2795347091265923,5.989
dcf_self_excl,0,50,100,456,0.42984000000000006,0.9873272560772561,0.16995940301474935,5.678
and,0,50,100,456,0.0005200000000000001,0.002486904761904762,0.9984444444444445,0.013
oracle,1,50,100,789,0.8040400000000001,1.0114575729825728,0.26119363449303545,10.529
pnd,1,50,100,789,0.79168,0.996792451992452,0.27764299349393656,10.374
dcf_self_excl,1,50,100,789,0.68124,0.8557466630591631,0.1623597584102507,8.909
and,1,50,100,789,0.20652000000000004,0.2990661408036408,0.9459493815576008,3.103
oracle,0,50,100,789,0.4801600000000001,1.1204634199134198,0.2786133226467898,6.314
pnd,0,50,100,789,0.4446800000000001,1.043881449106449,0.28401188925278065,5.901
dcf_self_excl,0,50,100,789,0.43168000000000006,0.9949353812853813,0.1678253493987634,5.622
and,0,50,100,789,0.00044,0.0018107142857142855,0.9985555555555555,0.011
oracle,1,50,100,1234,0.8082800000000001,1.0121255439005439,0.2549516858860533,10.521
pnd,1,50,100,1234,0.7914000000000001,0.9956512584637585,0.28098283613632413,10.339
