access,w_eff,n_vis,coll_cost,succ_oh,eps,T,rho
basic,840,5,-1,-1,0.57633,0.52706,1.45477
basic,840,5,-1,-1,0.73594,0.46413,1.63337
basic,840,5,-1,-1,0.93975,0.38508,1.724
basic,840,5,-1,-1,1.2,0.34381,1.86348
basic,840,10,-1,-1,0.05,0.64482,0.1027
basic,840,10,-1,-1,0.06385,0.64376,0.12482
basic,840,10,-1,-1,0.08153,0.64384,0.15262
basic,840,10,-1,-1,0.10411,0.6398,0.17923
basic,840,10,-1,-1,0.13294,0.64509,0.25066
basic,840,10,-1,-1,0.16975,0.62116,0.32821
basic,840,10,-1,-1,0.21677,0.62265,0.46803
basic,840,10,-1,-1,0.2768,0.59651,0.58954
basic,840,10,-1,-1,0.35345,0.58514,0.73781
basic,840,10,-1,-1,0.45134,0.54888,0.90866
basic,840,10,-1,-1,0.57633,0.50713,1.06164
basic,840,10,-1,-1,0.73594,0.44715,1.15024
basic,840,10,-1,-1,0.93975,0.41774,1.26373
basic,840,10,-1,-1,1.2,0.34981,1.32126
basic,840,20,-1,-1,0.05,0.64155,0.13745
basic,840,20,-1,-1,0.06385,0.64112,0.16014
basic,840,20,-1,-1,0.08153,0.63496,0.18029
basic,840,20,-1,-1,0.10411,0.63167,0.22279
basic,840,20,-1,-1,0.13294,0.6307,0.29683
basic,840,20,-1,-1,0.16975,0.61303,0.3628
basic,840,20,-1,-1,0.21677,0.60707,0.45093
basic,840,20,-1,-1,0.2768,0.58116,0.55429
basic,840,20,-1,-1,0.35345,0.55121,0.6738
basic,840,20,-1,-1,0.45134,0.51697,0.77278
basic,840,20,-1,-1,0.57633,0.48879,0.85443
basic,840,20,-1,-1,0.73594,0.45625,0.94335
basic,840,20,-1,-1,0.93975,0.41238,0.9794
basic,840,20,-1,-1,1.2,0.36415,1.0238
basic,840,50,-1,-1,0.05,0.63657,0.24718
basic,840,50,-1,-1,0.06385,0.62742,0.2752
basic,840,50,-1,-1,0.08153,0.61793,0.30014
basic,840,50,-1,-1,0.10411,0.60943,0.34454
basic,840,50,-1,-1,0.13294,0.6068,0.39593
