access,w_eff,n_vis,n_nat,alpha,c0,c_med,c_lo,c_hi,T,rho,J
rts,420,5,5,0.25,1.2,1.5737120246435679,1.505971606804625,1.628636658182763,0.7380902777777778,0.9724740437806757,-0.3038839027082142
rts,420,5,5,0.25,2.5,1.5593091969096802,1.4601598780328244,1.6275955455967075,0.7375082671957672,0.9715852261885093,-0.30468571978853126
rts,420,5,5,0.5,1.05,1.6020927400057676,1.504759146540939,1.7041606110185938,0.7356795634920635,1.0278643196084418,-0.3073382931598727
rts,420,5,5,0.5,1.2,1.5832016173351038,1.5062792764063486,1.754822325236706,0.7377298280423279,1.0270001015715444,-0.3045325069484592
rts,420,5,5,0.5,2.5,1.6294592024353862,1.5235098005264702,1.7420418971844605,0.7371114417989418,1.0139908306039203,-0.3051127078898553
rts,420,5,5,1.0,1.05,1.7343018201835818,1.6007073580028677,1.9021385532418795,0.730135582010582,1.0878744948825263,-0.32161901663603804
rts,420,5,5,1.0,1.2,1.677261793850239,1.594220458420928,1.8000526532146912,0.7300859788359788,1.120984006022352,-0.327636183162517
rts,420,5,5,1.0,2.5,1.6983006469765987,1.5999146301796099,1.8141710068636616,0.7282291666666666,1.1131646550736412,-0.3286328316692698
rts,420,5,10,0.25,1.05,1.7477168012057362,1.6671802926379056,1.8945652687274928,0.7116170634920636,1.1546497388411292,-0.34538474171873274
rts,420,5,10,0.25,1.2,1.7968484214799156,1.6852136511068014,1.8781974642489772,0.7131018518518518,1.151165529113964,-0.34308541446728963
rts,420,5,10,0.25,2.5,1.7368351422283075,1.5658549752522908,2.0015549013037712,0.7114880952380952,1.1555709716011513,-0.3456234908978193
rts,420,5,10,0.5,1.05,1.796269541813702,1.6634401949019901,1.9436626698698738,0.7068138227513229,1.2408144470804459,-0.3702658916912931
rts,420,5,10,0.5,1.2,1.8028468641938362,1.7155515683583142,1.9315239246659164,0.7114798280423281,1.2165184586222797,-0.3596148522974445
rts,420,5,10,0.5,2.5,1.8155774350677856,1.6871714783930019,2.0782024300414763,0.7094675925925925,1.2300012748588414,-0.3646681075549721
rts,420,5,10,1.0,1.05,1.9074798621925768,1.7746576982956717,2.031350366202913,0.7032936507936508,1.3485623204990482,-0.44140513314421376
rts,420,5,10,1.0,1.2,1.959917100380972,1.7731691674252954,2.108957790690591,0.7083829365079365,1.3469381373374547,-0.43347553449026954
rts,420,5,10,1.0,2.5,1.9482842605303967,1.7509319599272632,2.038905838429391,0.7045238095238094,1.3569565095170277,-0.44340725369044753
rts,420,5,20,0.25,1.05,2.279870231177819,2.023622392136839,2.437585032955601,0.6391220238095238,1.6189256198977169,-0.5056837146556714
rts,420,5,20,0.25,1.2,2.2774996075362726,2.024992106317902,2.5327685266287356,0.6407589285714286,1.64369508207944,-0.506841011330784
rts,420,5,20,0.25,2.5,2.2474975800685364,2.080697269264601,2.454438980603427,0.641630291005291,1.7109766905994224,-0.5158525466762891
rts,420,5,20,0.5,1.05,2.301247923641842,2.1454699380072326,2.531735452358009,0.6438128306878307,1.8039472349549932,-0.6143837626138029
rts,420,5,20,0.5,1.2,2.3484137900337463,2.1494612503968584,2.6013167180981593,0.6420023148148147,1.7368035782548912,-0.5955409834546918
rts,420,5,20,0.5,2.5,2.3440018645926948,2.1076739661314114,2.7122575311668147,0.6406580687830687,1.7618974192721157,-0.6056589550136955
rts,420,5,20,1.0,1.05,2.5097748577051244,2.2530010731089933,2.736338877092235,0.6395271164021165,1.921203929006138,-0.8733726175241254
rts,420,5,20,1.0,1.2,2.507459004254467,2.2492365576801916,2.8867060479425177,0.6374255952380953,1.9163192215831153,-0.8733460433885163
rts,420,5,20,1.0,2.5,2.490358119387984,2.262947529522654,2.681572985224092,0.6354166666666666,1.9245048767484654,-0.8820654704177493
rts,420,20,0,0.25,1.05,1.160032966756002,1.1340963314777814,1.176790029309031,0.743493716931217,1.0,-0.2963949637817675
rts,420,20,0,0.25,1.2,1.1565723264000574,1.1265751025190038,1.1836779589322748,0.7425744047619048,1.0,-0.29763220489227016
rts,420,20,0,0.25,2.5,1.1587918411492324,1.1310945302039763,1.1767951876767742,0.7424652777777778,1.0,-0.29777917333440207
rts,420,20,0,0.5,1.05,1.1766029653884282,1.1474636517793348,1.1974962883923732,0.7429431216931217,1.0,-0.29713578942463365
rts,420,20,0,0.5,1.2,1.175378563957647,1.1566760348329,1.2053218676415565,0.7452380952380953,1.0,-0.29405152073726076
rts,420,20,0,0.5,2.5,1.1762308435403028,1.1446891990164287,1.2001328991179738,0.7404265873015872,1.0,-0.3005287895520654
rts,420,20,0,1.0,1.05,1.2248950732893498,1.204138229971312,1.264709344904921,0.7429017857142858,1.0,-0.2971914291197869
rts,420,20,0,1.0,1.2,1.2221552890863883,1.195615891214935,1.2493780787552125,0.7418783068783069,1.0,-0.29857005616791066
rts,420,20,0,1.0,2.5,1.2259824578688918,1.1920030450806123,1.2609439696870892,0.7421593915343916,1.0,-0.29819124549518106
rts,420,20,5,0.25,1.05,1.3251274786757552,1.2549272134417078,1.4022877173185766,0.746592261904762,0.6327896135575694,-0.3445894698546059
rts,420,20,5,0.25,1.2,1.319873936736013,1.2713630119642643,1.386534601680255,0.7452331349206348,0.6353775282688061,-0.3454818853767921
rts,420,20,5,0.25,2.5,1.332117010147603,1.2644542121042963,1.3812614135547387,0.7453174603174603,0.6361625123207401,-0.34508912984218715
rts,420,20,5,0.5,1.05,1.3529917295813871,1.3146108904505014,1.4126743760928349,0.7439748677248677,0.6705336495304873,-0.37562063213163704
rts,420,20,5,0.5,1.2,1.3763797142711127,1.2874750056476862,1.4319382620716425,0.7444444444444445,0.6576805718212292,-0.3829126015140518
rts,420,20,5,0.5,2.5,1.3680901484861332,1.3029466792899207,1.4283416280690262,0.7438492063492063,0.6690162407624219,-0.37669761681159236
rts,420,20,5,1.0,1.05,1.4254382854532897,1.3728604586824302,1.5148641177441335,0.7402199074074073,0.7247342939967746,-0.40445988466782995
rts,420,20,5,1.0,1.2,1.4482703683594567,1.383889884766639,1.531593137483004,0.7419212962962961,0.7176294123480682,-0.4086046663615576
