init,N,W_eff,seed,efficiency,W_eff_utilization,collision_rate,oracle_successes
high,20,20,456,0.5678333333333333,0.34090000000000004,0.8433655755192521,2.454
low,20,20,456,0.9695,0.7145999999999999,0.1714774891774892,2.454
oracle,20,20,789,1.1029166666666665,0.7597,nan,2.452
optimal,20,20,789,0.9617166666666666,0.71225,0.17665360195360194,2.452
rand_u01,20,20,789,0.45885,0.23695,0.9045310366104485,2.452
rand_u2N,20,20,789,0.9688333333333332,0.7105499999999999,0.20524380203130202,2.452
high,20,20,789,0.5543833333333333,0.3316,0.8402431681880211,2.452
low,20,20,789,0.9475833333333332,0.7135499999999999,0.17456745999098938,2.452
oracle,20,20,1234,1.0797833333333333,0.75675,nan,2.436
optimal,20,20,1234,0.9411333333333333,0.69565,0.179445149376767,2.436
rand_u01,20,20,1234,0.4497333333333333,0.2328,0.8985748096674567,2.436
rand_u2N,20,20,1234,0.9758666666666665,0.71885,0.21359205794205796,2.436
high,20,20,1234,0.5507666666666666,0.33345,0.8419659344740228,2.436
low,20,20,1234,0.9377666666666665,0.7139,0.17975009851259852,2.436
oracle,20,50,42,1.0253722222222224,0.79792,nan,5.695
optimal,20,50,42,0.9722710317460317,0.77514,0.23514549239611165,5.695
rand_u01,20,50,42,0.34996031746031747,0.2523,0.9189297357967393,5.695
rand_u2N,20,50,42,0.9749023809523809,0.7712,0.27394364231560153,5.695
high,20,50,42,0.7129301587301587,0.55208,0.7177873173785699,5.695
low,20,50,42,0.9285293650793651,0.74698,0.1280371832655804,5.695
oracle,20,50,123,1.0174146825396824,0.79702,nan,5.719
optimal,20,50,123,0.9577095238095237,0.7730799999999999,0.23820999249120633,5.719
rand_u01,20,50,123,0.3465138888888889,0.24906000000000003,0.9216812586550798,5.719
rand_u2N,20,50,123,0.9624273809523809,0.7669600000000001,0.2773610451559857,5.719
high,20,50,123,0.707575,0.5533399999999999,0.7165192946678371,5.719
low,20,50,123,0.9300376984126983,0.7491800000000001,0.1264356044688959,5.719
oracle,20,50,456,1.0346365079365079,0.80028,nan,5.741
optimal,20,50,456,0.967,0.77106,0.2364548227123172,5.741
rand_u01,20,50,456,0.34722063492063493,0.24458000000000005,0.9193184923150155,5.741
rand_u2N,20,50,456,0.967259126984127,0.7656799999999999,0.28021251303902067,5.741
high,20,50,456,0.7126714285714286,0.5553800000000001,0.7198581247177774,5.741
low,20,50,456,0.9430730158730158,0.7465,0.12571524797632783,5.741
oracle,20,50,789,1.030206746031746,0.7970600000000001,nan,5.759
optimal,20,50,789,0.9669817460317459,0.7737999999999999,0.2369551627088194,5.759
rand_u01,20,50,789,0.34226150793650795,0.24280000000000002,0.9208798760134643,5.759
rand_u2N,20,50,789,0.9425198412698412,0.75574,0.27903532173721773,5.759
high,20,50,789,0.7153912698412699,0.5573400000000001,0.7151201868640314,5.759
low,20,50,789,0.9307063492063492,0.7499,0.12489424230855133,5.759
oracle,20,50,1234,1.0237095238095237,0.7943000000000001,nan,5.726
optimal,20,50,1234,0.9675825396825396,0.7691,0.23983573943585024,5.726
rand_u01,20,50,1234,0.35337142857142856,0.25422000000000006,0.9162632581276998,5.726
rand_u2N,20,50,1234,0.9568587301587301,0.7684,0.28126623197456285,5.726
high,20,50,1234,0.7066706349206349,0.55674,0.7183489198155911,5.726
low,20,50,1234,0.9340210317460317,0.74802,0.12572152543416107,5.726
oracle,20,100,42,1.0085692404817406,0.81059,nan,11.182
optimal,20,100,42,0.9775523254523255,0.7934300000000001,0.2545649873326034,11.182
rand_u01,20,100,42,0.38026429820179825,0.29694,0.8733165829918605,11.182
rand_u2N,20,100,42,0.9707767704517704,0.7884500000000001,0.2802093558390999,11.182
high,20,100,42,0.8338743575868578,0.6757799999999999,0.5757327954160703,11.182
low,20,100,42,0.933435735098235,0.7598599999999999,0.14680737435136623,11.182
oracle,20,100,123,1.0122939338439338,0.81122,nan,11.155
optimal,20,100,123,0.9736920218670219,0.79288,0.25647939156860144,11.155
rand_u01,20,100,123,0.38271377511377513,0.2967,0.8752252116235318,11.155
rand_u2N,20,100,123,0.9647200382950383,0.7889400000000001,0.28254454994864164,11.155
high,20,100,123,0.835052034077034,0.6779100000000001,0.573952721691621,11.155
