c_coll,c_idle,N,W_eff,seed,efficiency
3.0,2.0,20,20,123,0.9520833333333302
3.0,3.0,20,20,123,0.9484166666666642
3.0,5.0,20,20,123,0.8774166666666654
-1.0,-1.0,20,20,456,1.0
1.0,1.2,20,20,456,0.9680833333333307
1.0,1.5,20,20,456,0.9703333333333306
1.0,2.0,20,20,456,0.9424166666666641
1.0,3.0,20,20,456,0.854583333333332
1.0,5.0,20,20,456,0.7318333333333332
1.2,1.2,20,20,456,0.9579999999999977
1.2,1.5,20,20,456,0.9753333333333304
1.2,2.0,20,20,456,0.9729166666666637
1.2,3.0,20,20,456,0.9437499999999976
1.2,5.0,20,20,456,0.8199999999999991
1.5,1.2,20,20,456,0.9369166666666643
1.5,1.5,20,20,456,0.9691666666666631
1.5,2.0,20,20,456,0.972083333333331
1.5,3.0,20,20,456,0.9472499999999978
1.5,5.0,20,20,456,0.8621666666666659
2.0,1.2,20,20,456,0.9279999999999978
2.0,1.5,20,20,456,0.9448333333333302
2.0,2.0,20,20,456,0.9765833333333298
2.0,3.0,20,20,456,0.9651666666666642
2.0,5.0,20,20,456,0.8807499999999983
3.0,1.2,20,20,456,0.8874999999999987
3.0,1.5,20,20,456,0.9371666666666641
3.0,2.0,20,20,456,0.9610833333333305
3.0,3.0,20,20,456,0.9494999999999975
3.0,5.0,20,20,456,0.8933333333333324
-1.0,-1.0,20,20,789,1.0
1.0,1.2,20,20,789,0.9656656656656619
1.0,1.5,20,20,789,0.9825325325325297
1.0,2.0,20,20,789,0.9556556556556534
1.0,3.0,20,20,789,0.8788788788788777
1.0,5.0,20,20,789,0.7229062395729065
1.2,1.2,20,20,789,0.9692692692692664
1.2,1.5,20,20,789,0.975191858525189
1.2,2.0,20,20,789,0.9751418084751382
1.2,3.0,20,20,789,0.9326326326326305
1.2,5.0,20,20,789,0.8050717384050711
1.5,1.2,20,20,789,0.9461628294961597
