method,ppdu_dist,N,W_eff,seed,visit,successes,oracle_successes,efficiency,viable_slots_wasted,collision_rate,tau_rmse,false_trigger_rate
dcf_self_excl,homo,5,200,42,1000,5.0,5.0,1.0,14.609,0.0854801674907108,0.0,0.0
oracle,homo,5,200,123,1000,5.0,5.0,1.0,2.635,0.21310700345004718,0.0,0.0
mfg_no_excl,homo,5,200,123,1000,5.0,5.0,1.0,2.674,0.21060713154328264,0.0,0.0
self_excl_only,homo,5,200,123,1000,5.0,5.0,1.0,2.814,0.2080802612989784,0.0,0.0
ema_fixed_low,homo,5,200,123,1000,5.0,5.0,1.0,12.495,0.0555796798233774,0.34011712902947294,1.0868470312459575
ema_fixed_high,homo,5,200,123,1000,5.0,5.0,1.0,9.41,0.07350869666679519,0.31106853169898874,1.3331036883207998
ema_adaptive,homo,5,200,123,1000,5.0,5.0,1.0,12.322,0.054545815719191364,0.3461428101839978,1.0527292866547093
ema_ad_low,homo,5,200,123,1000,5.0,5.0,1.0,9.1,0.0809922376572005,0.3243529764464517,0.7346484951408452
ema_ad_med,homo,5,200,123,1000,5.0,5.0,1.0,9.952,0.06705962234820241,0.34250726363978,0.7735519183297928
ema_no_coll,homo,5,200,123,1000,5.0,5.0,1.0,8.246,0.09921671691190949,0.3130473261365082,0.6233776473365864
consec_L2,homo,5,200,123,1000,5.0,5.0,1.0,8.986,0.07421534285369784,0.30388691467283047,0.7494384839806758
consec_L4,homo,5,200,123,1000,5.0,5.0,1.0,12.004,0.052945410820693775,0.33913620200555045,0.35340141599132163
dcf_self_excl,homo,5,200,123,1000,5.0,5.0,1.0,15.6,0.08592345675749481,0.0,0.0
oracle,homo,5,200,456,1000,5.0,5.0,1.0,2.723,0.20710514184388076,0.0,0.0
mfg_no_excl,homo,5,200,456,1000,5.0,5.0,1.0,2.598,0.2077796263291235,0.0,0.0
self_excl_only,homo,5,200,456,1000,5.0,5.0,1.0,2.685,0.20951170561894294,0.0,0.0
ema_fixed_low,homo,5,200,456,1000,5.0,5.0,1.0,12.298,0.05333214271395357,0.3485892470598109,1.0252751530914115
ema_fixed_high,homo,5,200,456,1000,5.0,5.0,1.0,9.425,0.07302492796998794,0.3067750392346586,1.3461753277658854
ema_adaptive,homo,5,200,456,1000,5.0,5.0,1.0,12.131,0.053620800189154036,0.33870268696705835,1.0369953138243644
ema_ad_low,homo,5,200,456,1000,5.0,5.0,1.0,8.906,0.08223755033793981,0.32815764766462563,0.6748319975027536
ema_ad_med,homo,5,200,456,1000,5.0,5.0,1.0,9.97,0.06508557066185992,0.3372283378220054,0.802136280403397
ema_no_coll,homo,5,200,456,1000,5.0,5.0,1.0,8.058,0.09809130764812121,0.3147776084654873,0.613319487542465
consec_L2,homo,5,200,456,1000,5.0,5.0,1.0,9.203,0.07425908070585503,0.30767540126286735,0.7686656623375218
consec_L4,homo,5,200,456,1000,5.0,5.0,1.0,12.201,0.051839746461529834,0.3399426421890761,0.3648901300446772
dcf_self_excl,homo,5,200,456,1000,4.999,5.0,0.9997999999999999,15.146,0.0848882789032305,0.0,0.0
oracle,homo,5,200,789,1000,5.0,5.0,1.0,2.781,0.20219053712373666,0.0,0.0
mfg_no_excl,homo,5,200,789,1000,5.0,5.0,1.0,2.631,0.21244438405517005,0.0,0.0
self_excl_only,homo,5,200,789,1000,5.0,5.0,1.0,2.572,0.20513621139445992,0.0,0.0
ema_fixed_low,homo,5,200,789,1000,5.0,5.0,1.0,12.518,0.05324836128221872,0.3457832533817251,1.0532501252868154
ema_fixed_high,homo,5,200,789,1000,5.0,5.0,1.0,9.434,0.07197807719896893,0.3084249697740318,1.3326819571249466
