access,w_eff,n_vis,n_nat,eps_i,r,tau_bar,tau_nat,T,rho,T_nv,rho_nv,T_ev,rho_ev
rts,1680,5,10,0.07,3.0,0.167772,0.00923,0.765,2.78931,0.70874,2.09008,0.71322,2.12339
rts,1680,5,10,0.145,5.0,0.722588,0.00371,0.37328,2.71383,0.06345,2.90221,0.07868,2.98389
rts,1680,5,20,0.017,1.0,0.258303,0.00361,0.72313,4.83032,0.54099,3.32444,0.55132,3.39213
rts,1680,5,20,0.017,3.0,0.148986,0.00715,0.77054,4.46868,0.63389,2.49673,0.6385,2.52923
rts,1680,5,20,0.034,2.0,0.193967,0.00543,0.75329,4.67516,0.59911,2.89116,0.60586,2.93888
rts,1680,5,20,0.034,5.0,0.084319,0.01253,0.77306,3.56708,0.67578,1.72047,0.6779,1.73118
rts,1680,5,20,0.07,3.0,0.158793,0.00719,0.76533,4.46439,0.62671,2.59087,0.63176,2.62674
rts,1680,5,20,0.145,5.0,0.681861,0.00334,0.413,4.17326,0.06354,4.62151,0.07685,4.76981
rts,1680,20,5,0.017,1.0,0.058277,0.0101,0.73326,1.20765,0.70527,1.06177,0.71164,1.06409
rts,1680,20,5,0.017,3.0,0.034126,0.01818,0.77553,1.13014,0.75854,0.95384,0.76117,0.95229
rts,1680,20,5,0.034,2.0,0.042849,0.0125,0.76387,1.18295,0.74149,1.00397,0.74535,1.00411
rts,1680,20,5,0.034,5.0,0.02448,0.02521,0.78261,1.04002,0.77383,0.86976,0.77525,0.86579
rts,1680,20,5,0.07,3.0,0.034112,0.01968,0.77296,1.12024,0.75856,0.95374,0.7612,0.95219
rts,1680,20,5,0.145,5.0,0.025469,0.02438,0.77306,1.03525,0.77246,0.88043,0.77401,0.87673
rts,1680,20,10,0.017,1.0,0.057961,0.00665,0.73385,1.43951,0.66311,1.1057,0.67006,1.10913
rts,1680,20,10,0.017,3.0,0.031097,0.01389,0.77378,1.29356,0.7289,0.89093,0.73159,0.8881
rts,1680,20,10,0.034,2.0,0.041256,0.00986,0.76222,1.3828,0.70662,0.99346,0.71076,0.99327
rts,1680,20,10,0.034,5.0,0.019916,0.02031,0.77766,1.08165,0.74905,0.72125,0.75039,0.71543
rts,1680,20,10,0.07,3.0,0.031886,0.01337,0.77143,1.29114,0.7273,0.90027,0.73009,0.89765
rts,1680,20,10,0.145,5.0,0.020653,0.02042,0.76843,1.05872,0.74789,0.73515,0.74931,0.72951
rts,1680,20,20,0.017,1.0,0.056076,0.0047,0.73482,1.88869,0.57569,1.15031,0.58336,1.15408
rts,1680,20,20,0.017,3.0,0.028138,0.01002,0.77072,1.60162,0.65744,0.79502,0.6605,0.79149
rts,1680,20,20,0.034,2.0,0.038895,0.00727,0.76197,1.77398,0.62827,0.95954,0.63297,0.9587
rts,1680,20,20,0.034,5.0,0.011944,0.01692,0.76265,0.99701,0.69487,0.43196,0.6959,0.42669
rts,1680,20,20,0.07,3.0,0.028667,0.00992,0.76722,1.60745,0.65608,0.80423,0.65922,0.80082
rts,1680,20,20,0.145,5.0,0.013044,0.01655,0.75851,1.00412,0.6926,0.46293,0.69376,0.45758
rts,1680,50,5,0.017,1.0,0.022649,0.01024,0.73553,1.0598,0.70867,0.92487,0.71464,0.92208
rts,1680,50,5,0.017,3.0,0.01296,0.01907,0.77581,0.98424,0.76064,0.82446,0.76303,0.81868
rts,1680,50,5,0.034,2.0,0.016512,0.01549,0.76584,1.01905,0.74372,0.87207,0.74732,0.86761
