sweep,config,method,seed,succ_v,succ_n,coll_air,idle_air,oh_air,useful
A,125,dcf_conv,789,0.2170047619047619,0.12904761904761905,0.6446428571428572,0.015504761904761905,0.0,0.34605238095238094
A,125,pace,789,0.2509190476190476,0.03333333333333333,0.7255952380952381,0.005414285714285714,0.0,0.284252380952381
A,125,oracle,789,0.3384666666666667,0.12595238095238095,0.5333333333333333,0.01100952380952381,0.0,0.4644190476190476
A,125,dcf_conv,1234,0.21430476190476191,0.12595238095238095,0.6511904761904762,0.015714285714285715,0.0,0.34025714285714287
A,125,pace,1234,0.25834285714285715,0.02880952380952381,0.718452380952381,0.005195238095238096,0.0,0.28715238095238094
A,125,oracle,1234,0.3285190476190476,0.12595238095238095,0.5529761904761905,0.01060952380952381,0.0,0.4544714285714286
B,basic,dcf_conv,42,0.2945333333333333,0.17714285714285713,0.4694714285714286,0.021480952380952382,0.0,0.47167619047619047
B,basic,pace,42,0.33886666666666665,0.03333333333333333,0.5871238095238095,0.006747619047619047,0.0,0.3722
B,basic,oracle,42,0.42563809523809526,0.1707142857142857,0.3555952380952381,0.014214285714285714,0.0,0.596352380952381
B,basic,dcf_conv,123,0.27467142857142857,0.17785714285714285,0.48723809523809525,0.022233333333333334,0.0,0.45252857142857145
B,basic,pace,123,0.35292380952380953,0.04023809523809524,0.5661190476190476,0.006528571428571429,0.0,0.39316190476190477
B,basic,oracle,123,0.4362238095238095,0.1676190476190476,0.35227619047619046,0.013742857142857143,0.0,0.6038428571428571
B,basic,dcf_conv,456,0.28017142857142857,0.1838095238095238,0.4772904761904762,0.0212,0.0,0.4639809523809524
B,basic,pace,456,0.3641238095238095,0.037142857142857144,0.5567142857142857,0.006652380952380952,0.0,0.40126666666666666
B,basic,oracle,456,0.4359142857142857,0.15761904761904763,0.36273809523809525,0.013723809523809524,0.0,0.5935333333333334
B,basic,dcf_conv,789,0.2874952380952381,0.18357142857142858,0.4717047619047619,0.021471428571428572,0.0,0.4710666666666667
B,basic,pace,789,0.3686047619047619,0.034523809523809526,0.5560809523809523,0.006961904761904762,0.0,0.40312857142857145
B,basic,oracle,789,0.4239904761904762,0.16785714285714284,0.3610809523809524,0.014266666666666667,0.0,0.5918476190476191
B,basic,dcf_conv,1234,0.2834285714285714,0.17166666666666666,0.4887761904761905,0.021638095238095238,0.0,0.4550952380952381
B,basic,pace,1234,0.35563333333333336,0.03761904761904762,0.5642571428571429,0.006585714285714286,0.0,0.39325238095238096
B,basic,oracle,1234,0.4523857142857143,0.1554761904761905,0.3455238095238095,0.01369047619047619,0.0,0.6078619047619047
B,rts_24m,dcf_conv,42,0.42244761904761907,0.2695238095238095,0.0999,0.0329047619047619,0.12490476190476191,0.6919714285714286
B,rts_24m,pace,42,0.6438428571428572,0.056428571428571425,0.12162857142857143,0.010776190476190476,0.11928571428571429,0.7002714285714285
B,rts_24m,oracle,42,0.537847619047619,0.20476190476190476,0.06257142857142857,0.017895238095238096,0.13223809523809524,0.7426095238095238
B,rts_24m,dcf_conv,123,0.4205380952380952,0.2714285714285714,0.09874285714285715,0.03303333333333333,0.12514285714285714,0.6919666666666666
