topology,N,W_eff,protocol,seed,CW0,mean_success,std_success,mean_spatial_reuse,mean_degree,alpha_G
complete,16,20,mfg_perfect_local,1234,,8.333333333333334,2.5077657165072034,0.0,15.0,1
complete,16,20,mfg_carrier_sense,1234,,7.633333333333334,1.8162843634433703,0.0,15.0,1
complete,16,20,oracle_topology,1234,20,5.0,0.0,0.0,15.0,1
complete,16,50,dcf_ieee,1234,16,10.466666666666667,2.459448899426229,0.0,15.0,1
complete,16,50,dcf_topology,1234,32,10.866666666666667,2.445858177045885,0.0,15.0,1
complete,16,50,mfg_full_N,1234,,16.0,0.0,0.0,15.0,1
complete,16,50,mfg_perfect_local,1234,,16.0,0.0,0.0,15.0,1
complete,16,50,mfg_carrier_sense,1234,,14.2,1.16619037896906,0.0,15.0,1
complete,16,50,oracle_topology,1234,17,12.133333333333333,0.0,0.0,15.0,1
complete,16,100,dcf_ieee,1234,16,15.266666666666667,0.9977753031397177,0.0,15.0,1
complete,16,100,dcf_topology,1234,32,14.966666666666667,1.015983376941878,0.0,15.0,1
complete,16,100,mfg_full_N,1234,,16.0,0.0,0.0,15.0,1
complete,16,100,mfg_perfect_local,1234,,16.0,0.0,0.0,15.0,1
complete,16,100,mfg_carrier_sense,1234,,16.0,0.0,0.0,15.0,1
complete,16,100,oracle_topology,1234,4,15.333333333333334,0.0,0.0,15.0,1
complete,16,200,dcf_ieee,1234,16,16.0,0.0,0.0,15.0,1
complete,16,200,dcf_topology,1234,32,15.933333333333334,0.35901098714230023,0.0,15.0,1
complete,16,200,mfg_full_N,1234,,16.0,0.0,0.0,15.0,1
complete,16,200,mfg_perfect_local,1234,,16.0,0.0,0.0,15.0,1
complete,16,200,mfg_carrier_sense,1234,,16.0,0.0,0.0,15.0,1
complete,16,200,oracle_topology,1234,4,16.0,0.0,0.0,15.0,1
complete,16,500,dcf_ieee,1234,16,16.0,0.0,0.0,15.0,1
complete,16,500,dcf_topology,1234,32,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_full_N,1234,,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_perfect_local,1234,,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_carrier_sense,1234,,16.0,0.0,0.0,15.0,1
complete,16,500,oracle_topology,1234,4,16.0,0.0,0.0,15.0,1
complete,25,20,dcf_ieee,42,16,3.6,1.3316656236958786,0.0,24.0,1
complete,25,20,dcf_topology,42,50,4.466666666666667,1.499629583893599,0.0,24.0,1
