method,ppdu_dist,N,W_eff,seed,visit,successes,oracle_successes,efficiency,useful_slots,W_eff_utilization,viable_slots_wasted,collision_rate,tau_rmse,false_trigger_rate
ema_fixed_low,homo,10,50,789,1000,4.649,4.305,1.2406916666666656,27.894,0.5578800000000089,9.298,0.1027660319660826,0.07457602897317903,3.246104145008757
ema_fixed_high,homo,10,50,789,1000,4.679,4.305,1.2477499999999997,28.074,0.5614800000000097,7.665,0.1320589074453246,0.06590594112655694,3.931117425604151
ema_adaptive,homo,10,50,789,1000,4.641,4.305,1.236779761904762,27.846,0.5569200000000091,9.289,0.10385673646857674,0.07494860001096137,3.110260313162294
ema_ad_low,homo,10,50,789,1000,4.75,4.305,1.2742035714285713,28.5,0.5700000000000094,5.9,0.17152861341874517,0.0522338916575029,1.7014067114344211
ema_ad_med,homo,10,50,789,1000,4.739,4.305,1.2729440476190472,28.434,0.5686800000000094,7.121,0.13875761268745054,0.06205253197864819,2.289465617784351
ema_no_coll,homo,10,50,789,1000,4.552,4.305,1.2076559523809534,27.312,0.5462400000000087,5.203,0.20968418817594556,0.04368161626429813,1.3878477660153756
consec_L2,homo,10,50,789,1000,4.553,4.305,1.2116630952380945,27.318,0.5463600000000092,7.847,0.13473674306000244,0.06744029820856312,2.11659919684289
consec_L4,homo,10,50,789,1000,4.634,4.305,1.2309238095238084,27.804,0.556080000000009,9.362,0.09997245429130852,0.07649067629006152,0.936773097321533
dcf_self_excl,homo,10,50,789,1000,3.688,4.305,0.9843738095238099,22.128,0.44256000000000695,8.184,0.1934167487440322,0.0,0.0
pnd,homo,10,50,789,1000,4.196,4.305,1.120641666666667,25.176,0.503520000000008,3.926,0.2654700604950611,0.0,0.0
pnd_cd,homo,10,50,789,1000,4.334,4.305,1.1519464285714278,26.004,0.5200800000000089,4.211,0.2417151945276953,0.0,0.0
and,homo,10,50,789,1000,0.875,4.305,0.23341428571428524,5.25,0.1050000000000001,0.261,0.865619444444446,0.0,0.0
oracle,homo,10,50,1234,1000,4.274,4.327,1.124139285714285,25.644,0.5128800000000081,3.852,0.2758495908503267,0.0,0.0
mfg_no_excl,homo,10,50,1234,1000,4.336,4.327,1.1269178571428555,26.016,0.5203200000000088,3.811,0.27051025500127746,0.0,0.0
self_excl_only,homo,10,50,1234,1000,4.34,4.327,1.1417130952380954,26.04,0.520800000000008,3.822,0.26921582183726206,0.0,0.0
