obss_duration,weff,num_stas,npca_qsrc,seed,aggregate_throughput,collision_probability_npca,npca_transition_count
150,130,50,5,42,641,0.048,1646
150,130,50,5,123,612,0.07885304659498207,1753
150,130,50,5,456,616,0.08270676691729323,1718
300,280,5,0,42,768,0.24290220820189273,190
300,280,5,0,123,760,0.2919254658385093,184
300,280,5,0,456,785,0.25449101796407186,195
300,280,5,1,42,741,0.16698656429942418,189
300,280,5,1,123,742,0.1734475374732334,170
300,280,5,1,456,733,0.17679558011049723,195
300,280,5,2,42,729,0.1,185
300,280,5,2,123,701,0.08284023668639054,155
300,280,5,2,456,736,0.08780487804878048,190
300,280,5,3,42,668,0.05653710247349823,170
300,280,5,3,123,662,0.03686635944700461,135
300,280,5,3,456,683,0.03690036900369004,165
300,280,5,4,42,586,0.020512820512820513,185
300,280,5,4,123,628,0.0,165
300,280,5,4,456,583,0.010101010101010102,185
300,280,5,5,42,593,0.0,149
300,280,5,5,123,541,0.0,165
300,280,5,5,456,531,0.018518518518518517,190
300,280,10,0,42,751,0.5037593984962406,350
300,280,10,0,123,786,0.48623853211009177,340
300,280,10,0,456,748,0.4968085106382979,360
300,280,10,1,42,748,0.3328149300155521,350
300,280,10,1,123,759,0.3053173241852487,320
300,280,10,1,456,758,0.3225331369661267,360
300,280,10,2,42,720,0.192,340
300,280,10,2,123,744,0.21705426356589147,340
300,280,10,2,456,714,0.2395644283121597,360
300,280,10,3,42,683,0.07123287671232877,339
300,280,10,3,123,670,0.0855457227138643,310
300,280,10,3,456,724,0.11428571428571428,340
