ppdu_config,num_stas,method,threshold_mode,seed,aggregate_throughput,collision_probability_npca,npca_transition_count,mean_qsrc,tp_short,tp_medium,tp_long
homo_medium,30,adaptive_tppdu,ppdu,123,1298,0.8850529619458611,12846,0.03035964502568893,,,
homo_medium,30,adaptive_tppdu,ppdu,456,1275,0.8902013147082991,12426,0.024947690326734266,,,
homo_medium,30,oracle_t0,zero,42,1351,0.6175100900341509,13339,1.0,,,
homo_medium,30,oracle_t0,zero,123,1313,0.6303142329020333,12791,1.0,,,
homo_medium,30,oracle_t0,zero,456,1338,0.6078171579993376,12741,1.0,,,
homo_medium,30,oracle_tppdu,ppdu,42,1362,0.6278926257327985,12764,1.0,,,
homo_medium,30,oracle_tppdu,ppdu,123,1382,0.6249215317011927,12492,1.0,,,
homo_medium,30,oracle_tppdu,ppdu,456,1347,0.6391975308641975,12460,1.0,,,
homo_medium,50,fixed_q0_t0,zero,42,1174,0.965062769208114,22094,0.0,,,
homo_medium,50,fixed_q0_t0,zero,123,1179,0.9652129706961037,21397,0.0,,,
homo_medium,50,fixed_q0_t0,zero,456,1184,0.9651998956742055,20848,0.0,,,
homo_medium,50,fixed_q0_tppdu,ppdu,42,1189,0.9647125140924464,20702,0.0,,,
homo_medium,50,fixed_q0_tppdu,ppdu,123,1128,0.9655159803993272,21544,0.0,,,
homo_medium,50,fixed_q0_tppdu,ppdu,456,1186,0.9652703843753442,21339,0.0,,,
homo_medium,50,fixed_q1_t0,zero,42,1305,0.8230199968508897,21237,1.0,,,
homo_medium,50,fixed_q1_t0,zero,123,1278,0.8151950718685832,21541,1.0,,,
homo_medium,50,fixed_q1_t0,zero,456,1265,0.8232227488151659,20738,1.0,,,
homo_medium,50,fixed_q1_tppdu,ppdu,42,1285,0.8160138976626659,21053,1.0,,,
homo_medium,50,fixed_q1_tppdu,ppdu,123,1314,0.8227258615336852,20757,1.0,,,
homo_medium,50,fixed_q1_tppdu,ppdu,456,1254,0.8228643216080402,20648,1.0,,,
